item_id,user_id,due_date
9780201633610,325c96,2024-03-01
9780241341650,325c96,2024-03-23
c8ceaf9a,325c96,2024-03-20
9780201633610nline,325c96,2024-05-01
c8ceaf9a,325c96,2024-04-22
9780201633610,6fd709,2024-04-22
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
a5df89ea-68c7-45a5,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
a8ee5102-be10-4e22,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
2fee98e4-5a44-4c94,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
9a919688-0c69-4f7b,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
297c5847-6ef4-4bf1,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
a682b4b0-1484-4446,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
c6be645c-4acc-4aea,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
cee09241-29d3-4c7f,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
89be68dd-b17d-4677,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
69b9f76d-cfb2-4e5d,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
c4fe5d8f-5c58-4b2f,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
c641b754-6aee-423a,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
e90f441e-f5eb-4f09,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
a8f0176a-085a-40a1,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
e4b65ebb-ec2f-4c4b,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
0678f7dd-caa6-4c01,123,2024-05-01
test1234,325c96,2024-04-02
test1234,325c96,2024-05-01
933cb5d1-54db-4af6,123,2024-05-01
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
29c44874-f15d-47bf,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
7f9be9d5-cb9b-4d6b,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
0785dc99-fd0e-4093,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
1a729c66-e3fa-4a3b,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
ed6a28fb-79ec-4b2e,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
7602ee59-ff00-4a4f,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
2c2b263a-ee0e-47e0,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
2fb4aa04-caae-4d24,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
c0402f1b-7f30-4cf7,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
61d99267-168e-4754,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
7056f158-d50d-4e71,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
c9c9c88f-c86d-4693,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
de876360-570d-4d40,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
6841fec4-50cc-4204,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
c368965a-bf85-4233,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
05b2bbc9-06aa-4452,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
c188b4fc-ee71-4191,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
011b580f-3d31-4f99,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
8c6f290d-f1f2-4c36,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
81d58238-4ecd-47ae,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
528197b1-563c-43f2,123,2024-05-02
test1234,325c96,2024-04-03
test1234,325c96,2024-05-02
4afed8b9-7cdb-476a,123,2024-05-02
